#,id,campus_id,email,roles,password,last_name,first_name,pseudo,phone_number,updated_at,is_active,is_admin,image_name
1,1,2,admin@admin.fr,[],$2y$13$64wp3B5YJCx6m2BJQGWNuOgSqfBqAkXqPAScvfDpMa6xAlnFR31bm,admin,admin,SuperTOTO,0606060606,,1,1,
2,2,1,louis.therese@laposte.net,[],$2y$13$po/E39Ub2ThkfSJd5SkZm.jsREjK0zW2iqoim3vSuOx5W5TIonfKq,Pelletier,Édith,renee.bourdon,,,1,0,
3,3,1,francoise31@gmail.com,[],$2y$13$8MozYDzqB2UWZviepFaG7.XodnV6vE8sj68CH.bWRUsy9C/0rtohi,Gaillard,Roger,stephane45,,,1,0,
4,4,1,girard.josette@bertin.com,[],$2y$13$/lylk9yKTUVNmXMDvAAbVeGz0IKcwi2v7uH4Cf58uGc3gv6FWMkGy,Picard,Matthieu,noel.barbe,,,1,0,
5,5,2,william52@yahoo.fr,[],$2y$13$4R0DIPb4Hqbx.9A4mu893erQyKCtKRG.PzPRmWwbaV4KiBowshHiW,Gomes,Louise,scaron,,,1,0,
6,6,2,igeorges@boutin.fr,[],$2y$13$V2AAz6myfoVei4pa5uct5et2Ak/6U638tMaA8L/LqHwWGuoG8J.V.,Duval,Alain,philippine.mahe,,,1,0,
7,7,3,rribeiro@petit.com,[],$2y$13$Mb8pt4n7EygxMS7RsSi90eTpTnMA3LFfxJ/rVxqdJgH9NofdUPHYy,Chevallier,Philippe,margaud.pichon,,,1,0,
8,8,1,astrid34@noos.fr,[],$2y$13$VLg8C.5unJHpAlZbFNFzvOXN39/1NCqqGQ.B4ykKnfas71ljUG4Z6,Moreau,Guillaume,elisabeth25,,,1,0,
9,9,2,delattre.elodie@sfr.fr,[],$2y$13$VTrJ0nmyUbl6xI9rHHR5IeMVl9nyVIxrlV8695SzLI/B1GQ7.TFte,Lamy,Élisabeth,frederic.guillon,,,1,0,
10,10,3,gabriel.bouvet@hoarau.org,[],$2y$13$M8Sa0qUhy195ZyGYxyh8YuTF..Wvs1efo9plHqAg1zl4s1FnEZB9m,Delannoy,Luce,alain.meyer,,,1,0,
11,11,1,aubert.christelle@fournier.fr,[],$2y$13$jfHzEGBYMcMgmBKmXhAK3uxhjLdanZlWBlTBv3BUjC/3NkX/wxs2i,Garnier,Claudine,torres.christine,,,1,0,
12,12,1,guillaume.eugene@dbmail.com,[],$2y$13$Yv7B3VWeiJYg14YWOelyXuBwMJOf8f9zQVWCbTPCR0Ryv7mOLAVUS,Boutin,Arnaude,perrier.anastasie,,,0,0,
13,13,1,susanne.guichard@julien.net,[],$2y$13$WUizslf.g2xLlXqvfa6bvOeCjJ.IJwPn.5AcM32AuSv/SFewkQ8yS,Joseph,Matthieu,merle.constance,,,0,0,
14,14,1,dominique.briand@laposte.net,[],$2y$13$mqIdfdWTLdv0C/pSLelojeu0hrjcyUrr/puYaMhd8mFAL7Ymyuzwi,Thomas,Matthieu,francois.cordier,,,0,0,
15,15,2,rmace@laposte.net,[],$2y$13$oq3LD5WJMRkENBFXrxonG.G6jTZtu6lMoeWiqgneULWyLJItHl78u,Seguin,Alexandre,gilbert44,,,0,0,
16,16,3,renee.robert@laposte.net,[],$2y$13$XJmge8Yk26ee9jdensqfh.1zE8bd1pUwc6388RBkB04kEuWdsU2fq,Grenier,Mathilde,jleroux,,,0,0,
17,18,3,rnee.roert@laposte.net,[],$2y$13$bJDxkF1gN5bwTXbTp58y3u.KoPqdHcXq9FYLsLoezuTrcCEJeiHge,Grenssier,Masthilde,jlessroux,"",,1,1,
18,19,3,rnazazee.roert@laposte.net,[],$2y$13$arMH6hn3kjXAtCQHJgwNE.bdqekoYemJoA5Z8nqlxHD7BclgpF05y,Grensazazsier,Maazzasthilde,jlesazasroux,"",,1,1,
19,20,2,adazdazdazdin@admin.fr,[],yoyoyottt,admazin22,adminazd2222,SuperTOTazdO2222,0606060606,,1,1,
